Gene,Mean_Importance,Std_Importance,CV,Top5_Frequency
LMNA,0.09115,0.00767,0.084,1.0
MALAT1,0.08618,0.01035,0.12,1.0
TOMM7,0.07477,0.00738,0.099,0.99
C1QBP,0.0727,0.00727,0.1,0.95
PLOD1,0.05773,0.00818,0.142,0.38
IFITM3,0.0565,0.01138,0.201,0.42
UGT8,0.05095,0.00886,0.174,0.23
C11orf63,0.04506,0.00842,0.187,0.02
XKR9,0.03792,0.00783,0.206,0.01
SNHG3,0.0312,0.00828,0.265,0.0
PLEKHG4B,0.02912,0.00734,0.252,0.0
APOL1,0.02855,0.00654,0.229,0.0
EMC1,0.02807,0.00792,0.282,0.0
C1D,0.02751,0.00865,0.314,0.0
ZNF527,0.02668,0.00769,0.288,0.0
CTSA,0.02441,0.00871,0.357,0.0
AEBP1,0.02394,0.00641,0.268,0.0
PPIEL,0.02377,0.00916,0.385,0.0
PLXNA1,0.02073,0.01012,0.488,0.0
NPC2,0.01793,0.00763,0.426,0.0
UXS1,0.01773,0.00575,0.324,0.0
HRH4,0.01765,0.00761,0.431,0.0
LINC00574,0.01675,0.0082,0.49,0.0
GLG1,0.01644,0.00664,0.404,0.0
UPK1B,0.01503,0.00769,0.511,0.0
RAB42,0.0146,0.00528,0.362,0.0
C3orf72,0.01406,0.00697,0.496,0.0
KIF1B,0.01137,0.0074,0.651,0.0
FCRLA,0.01137,0.00539,0.475,0.0
MRPL32,0.01012,0.00442,0.437,0.0
