Gene,Accuracy_Without,Accuracy_Drop,Base_Accuracy
MALAT1,0.8333,0.125,0.9583
LMNA,0.8542,0.1042,0.9583
IFITM3,0.875,0.0833,0.9583
C11orf63,0.9167,0.0417,0.9583
HRH4,0.9167,0.0417,0.9583
XKR9,0.9167,0.0417,0.9583
C3orf72,0.9167,0.0417,0.9583
CTSA,0.9167,0.0417,0.9583
TOMM7,0.9167,0.0417,0.9583
UGT8,0.9375,0.0208,0.9583
PLXNA1,0.9375,0.0208,0.9583
C1D,0.9375,0.0208,0.9583
PLOD1,0.9375,0.0208,0.9583
UXS1,0.9375,0.0208,0.9583
PLEKHG4B,0.9375,0.0208,0.9583
ZNF527,0.9375,0.0208,0.9583
GLG1,0.9375,0.0208,0.9583
UPK1B,0.9375,0.0208,0.9583
FCRLA,0.9375,0.0208,0.9583
C1QBP,0.9375,0.0208,0.9583
KIF1B,0.9583,0.0,0.9583
PPIEL,0.9583,0.0,0.9583
LINC00574,0.9583,0.0,0.9583
RAB42,0.9583,0.0,0.9583
AEBP1,0.9583,0.0,0.9583
APOL1,0.9583,0.0,0.9583
EMC1,0.9583,0.0,0.9583
MRPL32,0.9583,0.0,0.9583
SNHG3,0.9792,-0.0208,0.9583
NPC2,0.9792,-0.0208,0.9583
